Variant,Draft,Beam,Water,Fuel,Cabins,Displacement
Grand Soleil 43 Maletto - GS 43,7.87,13.12,95.1,58.12,3.0,20020.0
Grand Soleil 45,7.71,13.5,106.0,60.0,3.0,20570.0
Grand Soleil 45 RACING,7.55,13.91,112.44,63.02,3.0,21120.0
Grand Soleil 46,8.37,14.07,118.88,66.04,3.0,24860.0
Grand Soleil 46 Jezequel,6.56,13.78,169.94,72.02000000000001,3.0,28600.0
Grand Soleil 46 LC,11.5,15.33,221.0,78.0,3.0,26510.0
Grand Soleil 47,8.53,14.11,176.54500000000002,118.25,3.0,24420.0
Grand Soleil 48 Ocean Cruiser,6.56,13.78,132.09,158.5,3.0,26056.6
Grand Soleil 50,7.58,15.0,122.0,77.0,3.0,27693.2
Grand Soleil 54,8.83,15.25,160.0,105.0,3.0,29329.8
Grand Soleil 56,9.35,15.85,158.5,110.95,3.0,30966.4
Grand Soleil 56 EXTREME,9.35,15.85,158.5,110.95,2.5,32603.0
Hallberg-Rassy 40,6.53,12.53,121.52,117.56,2.0,34239.6
Hallberg-Rassy 412,6.53,13.48,146.615,110.955,2.0,35876.2
Hallberg-Rassy 43,6.56,13.32,171.71,104.35,2.0,37512.8
Hallberg-Rassy 44,6.89,13.78,196.81,110.95,3.0,39149.4
Hallberg-Rassy 48,7.71,14.76,240.4,105.67,3.0,40786.0
Hallberg-Rassy 54,7.1850000000000005,15.42,186.26666666666668,84.44666666666667,3.0,35219.25
Hanse 385,6.66,12.73,132.13333333333333,63.223333333333336,3.0,29652.5
Hanse 388,5.42,12.83,78.0,42.0,2.0,24085.75
Hanse 400,6.5,13.25,79.25,36.98,3.0,18519.0
Hanse 400 Epoxy,6.5,13.25,85.86,31.7,3.0,18519.0
Hanse 400e,6.5,13.25,79.0,37.0,3.0,18739.0
Hanse 411,6.665,13.29,63.4,31.7,3.0,21341.0
Hanse 415,6.83,13.67,84.0,42.0,3.0,19621.0
Hanse 418,5.75,13.67,125.0,42.0,3.0,21605.0
Hanse 430,6.484999999999999,13.58,104.77000000000001,50.06,3.0,23810.0
Hanse 430e,7.22,13.71,84.54,58.12,3.0,24030.0
Hanse 445,7.35,14.34,450.0,220.0,3.0,24250.0
Hanse 455,7.25,14.33,119.0,58.0,3.0,25500.0
Hanse 461,7.55,14.67,105.0,66.04,3.0,26235.0
Hanse 470,8.53,14.63,105.67,66.04,3.0,27469.6
Hanse 470e,7.71,14.63,105.67,66.04,3.0,28704.2
