Variant,Draft,Beam,Water,Fuel,Cabins,Displacement
Grand Soleil 37 B&C,,12.07,95,37,, 13,640 
Grand Soleil 39,7.87,12.14,116.2,52.8,3, 16,204 
Grand Soleil 40,7.84,12.5,95,48,3, 15,000 
Grand Soleil 40 B&C,7.84,12.5,95,48,3, 15,000 
Grand Soleil 43,7.55,12.96,,,,
Grand Soleil 43 BC,8.2,12.96,105.93,61.02,,19580
Grand Soleil 43 Maletto,7.87,13.12,95.1,58.12,,20020
Grand Soleil 43 Maletto - GS 43,7.87,13.12,95.1,58.12,,20020
Grand Soleil 45,,13.5,106,60,3,
Grand Soleil 45 RACING,7.55,13.91,,,,21120
Grand Soleil 46,8.37,14.07,118.88,66.04,3,
Grand Soleil 46 Jezequel,6.56,13.78,,,,28600
Grand Soleil 46 LC,11.5,15.33,221,78,3,
Grand Soleil 47,8.53,14.11,,,,24420
Grand Soleil 48 Ocean Cruiser,6.56,13.78,132.09,158.5,3,
Grand Soleil 50,7.58,15,122,77,3,
Grand Soleil 54,8.83,15.25,160,105,3,
Grand Soleil 56,9.35,15.85,158.5,110.95,3,
Grand Soleil 56 EXTREME,9.35,15.85,158.5,110.95,,
Hallberg-Rassy 40,6.53,12.53,121.52,117.56,2,
Hallberg-Rassy 412,6.53,13.48,,,,
Hallberg-Rassy 43,6.56,13.32,171.71,104.35,2,
Hallberg-Rassy 44,6.89,13.78,196.81,110.95,3,
Hallberg-Rassy 48,7.71,14.76,240.4,105.67,, 40,786 
Hallberg-Rassy 54,,15.42,,,,
Hanse 385,6.66,12.73,,,3,
Hanse 388,5.42,12.83,78,42,2,
Hanse 400,6.5,13.25,79.25,36.98,3, 18,519 
Hanse 400 Epoxy,6.5,13.25,85.86,31.7,3, 18,519 
Hanse 400e,6.5,13.25,79,37,3, 18,739 
Hanse 411,,13.29,63.4,31.7,3, 21,341 
Hanse 415,6.83,13.67,84,42,3, 19,621 
Hanse 418,5.75,13.67,125,42,3, 21,605 
Hanse 430,,13.58,,,3, 23,810 
Hanse 430e,7.22,13.71,84.54,58.12,3,
Hanse 445,7.35,14.34,450,220,3, 24,250 
Hanse 455,7.25,14.33,119,58,3, 25,500 
Hanse 461,7.55,14.67,105,66.04,3, 26,235 
Hanse 470,8.53,14.63,105.67,66.04,3,
Hanse 470e,7.71,14.63,105.67,66.04,3,
Hanse 495,7.81,15.58,171.71,79.25,3,
Hanse 505,6.42,15.58,170,60,3,
Hanse 508,6.5,15.58,166,74,3, 32,408 
Hanse 531,,17.25,,,, 41,226 
Hanse 540,7.97,16.11,,,,
Hanse 540e,7.97,16.11,,,3, 41,226 
Hanse 545,8,16.08,185,106,3, 41,226 
Hanse 548,7.25,16.58,203,137,4, 43,211 
Hanse 575,9.33,17,214,138,, 42,990 
Hanse 588,7.42,17.08,203,137,, 50,265 
Harmony 38,4.92,12.53,79.25,52.83,2,
Harmony 42 Elegance,6.4,13.09,133.41,55.48,3,
Harmony 47,6.89,13,,,3,
Hunter 38,,12.08,75,35,, 17,637 
Hunter 380,5,12.58,,,,
Hunter 39,5,12.92,75,36,, 18,501 
Hunter 40,7,13.17,90,50,,
