Variant,Draft,Beam,Length at Waterline,Fresh Water Tank,Fuel Tank,Cabins,Heads,dispalcement
Bali 4.0,4.17,22,,55.74,27.74,4,4,19842
Seawind 1190 Sport,4.92,21.33,37,185,71,3,1,15620
Antares 44i,4,21.75,43.5,150,120,3,2,
Lagoon 410,3.94,23.26,,184.92,52.83,4,4,
Broadblue 415,4.5,22,,130,200,3,2,
Leopard 47,,24.25,41.83,211,158,,4,22420
Privilege 495,,24.92,,,,,3,
Outremer 49,3,24,,100,89,,,22000
Bali 4.5,,24.42,,211,422,3,3,
Fountaine Pajot Lipari 41,3.67,22.08,,140,80,4,2,7600
Seawind 1250,3.9,22.3,,184,126,,,
Lagoon 380 S2,3.75,21.42,36.08,79,52,,2,15697
Voyage Yachts Voyage 480,3.73,25.1,,,105,,,
Lagoon 450 Owners Version,4.25,25.75,43.92,184,264,3,3,
Fountaine Pajot Lucia 40 Owner's Version,3,21,38,265,300,3,2,8900
Voyage Yachts 500 Owner's Version,3,,50,210,132,,,
Leopard 48 Crewed Version,,25,45,,,,,
Chris White Atlantic 49MF,3.6,24.2,62,,,,,20000
Nautitech 40,,21.25,,158,71,4,2,16314
